conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptId_Source Question,Source Question,conceptId_Variable,Question Text,Variable Label,Variable Name,Variable Type,Variable Length,conceptId_Format/Value,Format/Value,Required,PII,Notes
,Biospecimen,,Specimen Link,,,,Collection Setting,Collection Setting,BioSpm_Setting_v1r0,Num,1,,0=Research,Yes,No,Autopopulated based on dashboard to input collection information.
,,,,,,,,,,,,,1=Clinical,,,
,,,,,,,,,,,,,2=Home,,,
192505768,Recruitment,332759827,User Profile,,,399159511,First Name ,First Name,RcrtUP_Fname_v1r0,Char,50,,N/A,Yes,Yes,"Populated from RcrtCS_Fname_v1r0, cannot be edited until after verification."
192505768,Recruitment,332759827,User Profile,,,231676651,Middle Name ,Middle Name,RcrtUP_Mname_v1r0,Char,1,,N/A,No,Yes,"Populated from RcrtCS_Mname_v1r0, cannot be edited until after verification."
192505768,Recruitment,332759827,User Profile,,,996038075,Last Name,Last Name,RcrtUP_Lname_v1r0,Char,50,,N/A,Yes,Yes,"Populated from RcrtCS_Lname_v1r0, cannot be edited until after verification."
,Recruitment,,User Profile,,,,What is your preferred first name?,Preferred Name,RcrtUP_PrefName_v1r0,Char,50,,N/A,No,Yes,To display on check in screen.
192505768,Recruitment,332759827,User Profile,,,371067537,"Date of Birth derived from concatenating: RcrtUP_MOB_v1r0, RcrtUP_BD_v1r0, RcrtUP_YOB_v1r0",Date of Birth,RcrtUP_DOB_v1r0,Date,8,,yyyymmdd,Yes,Yes,
192505768,Recruitment,332759827,User Profile,,,521824358,Address line 1,Address line 1,RcrtUP_AddressLn1_v1r0,Char,70,,N/A,Yes,Yes,Populated from Google Addresses
192505768,Recruitment,332759827,User Profile,,,442166669,Address line 2,Address line 2,RcrtUP_AddressLn2_v1r0,Char,70,,N/A,No,Yes,Populated from Google Addresses
192505768,Recruitment,332759827,User Profile,,,703385619,City,City,RcrtUP_City_v1r0,Char,45,,N/A,Yes,Yes,Populated from Google Addresses
192505768,Recruitment,332759827,User Profile,,,634434746,State,State,RcrtUP_State_v1r0,Char,48,,N/A,Yes,Yes,Populated from Google Addresses
192505768,Recruitment,332759827,User Profile,,,892050548,Zip,Zip,RcrtUP_Zip_v1r0,Num,5,,N/A,Yes,Yes,Populated from Google Addresses
,Biospecimen,,Specimen Link,,,,Select visit from drop down menu,Select visit,BioSpm_Visit_v1r0,Num,,,0 = Baseline,Yes,No,"Set baseline as the default, full list is not finalized yet. "
,Biospecimen,,Specimen Link,,,,Select Hawaiian Island from drop down menu,Select Hawaiian Island,BioSpm_HIIsland_v1r0,Num,1,,"0 = Oahu
1 = Non-Oahu",Yes for KPHI,No,Display for KPHI only
,Biospecimen,,Specimen Link,,,,Accession ID , Accession ID ,BioSpm_AccessionID_v1r0,Num,30,,N/A,Yes for some sites - TBD,No,Additional format info to be added later.
,Biospecimen,,Specimen Link,,,,Accession ID Manually Entered,Accession ID Manually Entered,BioSpm_AccIDEntered_v1r0,Num,1,,0=No,Yes if manually entered,No,
,,,,,,,,,,,,,1=Yes,,,
,Biospecimen,,Specimen Link,,,,Collection ID ,Collection ID ,BioSpm_ColIDScan_v1r0,Char,9,,Example: CXA000001,Yes,No,
,Biospecimen,,Specimen Link,,,,Collection ID Manually Entered,Collection ID Manually Entered,BioSpm_ColIDEntered_v1r0,Num,1,,0=No,Yes if manually entered,No,
,,,,,,,,,,,,,1=Yes,,,
,Biospecimen,,Collection,,,,Tube Collected,Tube Collected,BioCol_TubeCollected_v1r0,Num,1,,0=No,Yes,No,Default no for each tube until checked to indicate sample was collected
,,,,,,,,,,,,,1=Yes,,,
,Biospecimen,,Collection,,,,Serum Separator Tube 1 (scan in tube),Serum Separator Tube 1 ID,BioCol_0001_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 2 (scan in tube),Serum Separator Tube 2 ID,BioCol_0002_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 3 (scan in tube),Serum Separator Tube 3 ID,BioCol_0011_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 4 (scan in tube),Serum Separator Tube 4 ID,BioCol_0012_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 5 (scan in tube),Serum Separator Tube 5 ID,BioCol_0021_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 6 (scan in tube),Serum Separator Tube 6 ID,BioCol_0022_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 7 (scan in tube),Serum Separator Tube 7 ID,BioCol_0031_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 8 (scan in tube),Serum Separator Tube 8 ID,BioCol_0032_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Heparin Tube 1 (scan in tube),Heparin Tube 1 ID,BioCol_0003_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Heparin Tube 2 (scan in tube),Heparin Tube 2 ID,BioCol_0013_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,EDTA Tube 1 (scan in tube),EDTA Tube 1 ID,BioCol_0004_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,EDTA Tube 2 (scan in tube),EDTA Tube 2 ID,BioCol_0014_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,EDTA Tube 3 (scan in tube),EDTA Tube 3 ID,BioCol_0024_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,ACD Tube 1 (scan in tube),ACD Tube 1 ID,BioCol_0005_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Additional Label Used,Additional Label Used,BioCol_AddLabel_v1r0,Num,1,,0=No,Yes - if used,No,"Default is No, should be check if additional labels are used.  This probably needs to be added to the dashboard."
,,,,,,,,,,,,,1=Yes,,,
,Biospecimen,,Collection,,,,Biohazard Bag scan,Biohazard Bag (Blood or Blood/Urine) ID,BioCol_0008_v1r0,Char,14,,Example: CXA000001 0001,,,
