Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V2 Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Stub Record Variable to be Retained,Question Type,IMS Review Notes
1,1,192505768,Recruitment,883203566,Sign in,,,,,,,,521025370,Time Stamp for when study ID is submitted by the site,,,D/T Study ID Sub,RcrtSI_TimeStamp_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes,No,"For all variables that are set to a default, they are set to a default when the study ID is submitted for active recruits",,Master Data Dictionary,No,No,3/26/21,Participants Table Not nested (d_521025370),,,
2,2,192505768,Recruitment,883203566,Sign in,,,,,,,,512820379,Autogenerated flag - Recruitment type,,,Recruit Type,RcrtSI_RecruitType_v1r0,,Num,1,180583933,0 = Not active,,Yes,No,"All Study IDs for which the sites have indicated they are actively recruiting will be flagged as 1.  This should be triggered by a combination of sending the Study IDs to the: Get Participant Token API and then sending the deidentified demographic information to the: Submit participant data API. Study IDs assigned a token/PIN, but who are not being actively recruited are flagged as zero (default) when the study ID is submitted. All individuals who sign-in without a valid token or pin are flagged as 2.",,Recruitment Data Dictionary,No,Yes,,Participants Table Not nested (d_512820379),,,removed quotation marks
3,3,,,,,,,,,,,,,,,,,,,,,486306141,1 = Active,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,854703046,2 = Passive,,,,,,,,,,,,,
5,5,192505768,Recruitment,883203566,Sign in,,,,,,,,471593703,Autogenerated date/time for recruitment type flag,,,D/T Recruit Type Assigned,RcrtSI_TypeTime_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if RcrtSI_RecruitType_v1r0 equals 1 or 2,No,ISO to be converted to SAS format,,Recruitment Data Dictionary,No,No,3/26/21,Participants Table Not nested (d_471593703),,,
6,6,192505768,Recruitment,883203566,Sign in,,,,,,Revised,,934298480,Site reported age at recruitment,,,Site Reported Age,RcrtSI_Age_v1r0,,Num,1,713781738,0 = 30-34,,Yes,No,"These are the most rolled up versions of the de-identified demographic variables the sites agreed to send, however,  other formats for this data (e.g. Age as a continuous variable) can be accepted.",,Recruitment Data Dictionary,Yes,No,10/11/23,Participants Table Not Nested (state_d_934298480),,,
7,7,,,,,,,,,,,,,,,,,,,,,631272782,1 = 35-39,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,124276120,2 = 40-45,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,450985724,3 = 46-50,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,363147933,4 = 51-55,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,636706443,5 = 56-60,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,771230670,6 = 61-65,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,722846087,7 = 66-70,,,,,,,,,,,,,
14,14,192505768,Recruitment,883203566,Sign in,,,,,,,,849518448,Site reported race/ethnicity,,,Site Reported Race/Eth,RcrtSI_Race_v1r0,,Num,1,768826601,"0 = White, Non-Hispanic",,Yes,No,,,Recruitment Data Dictionary,Yes,No,3/25/21,Participants Table Not nested (state_d_849518448),,,
15,15,,,,,,,,,,,,,,,,,,,,,181769837,55 = Other,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,,,,,
